"web_scraper_order","web_scraper_start_url","pagination","codigo","title","nombre","requisitos","correquisitos","data4","data5","data6","data7","data8","creditos"
"1790136149-1","https://www.tec.ac.cr/licenciatura-ingenieria-agricola","","BI1103 - biología agrícola","BI1103","biología agrícola","BI1104","No hay","Créditos","Horas","Requisitos:","Correquisitos:","3","3"
"1790136149-2","https://www.tec.ac.cr/licenciatura-ingenieria-agricola","","BI1104 - laboratorio de biología agrícola","BI1104","laboratorio de biología agrícola","BI1103","No hay","Créditos","Horas","Requisitos:","Correquisitos:","2","1"
"1790136149-3","https://www.tec.ac.cr/licenciatura-ingenieria-agricola","","CI1106 - comunicación escrita","CI1106","comunicación escrita","No hay","No hay","Créditos","Horas","Requisitos:","Correquisitos:","6","2"
"1790136149-4","https://www.tec.ac.cr/licenciatura-ingenieria-agricola","","CI1230 - inglés i","CI1230","inglés i","No hay","CI0200, CI0202","Créditos","Horas","Requisitos:","Correquisitos:","6","2"
"1790136149-5","https://www.tec.ac.cr/licenciatura-ingenieria-agricola","","IA1002 - fundamentos de ingeniería agrícola","IA1002","fundamentos de ingeniería agrícola","No hay","No hay","Créditos","Horas","Requisitos:","Correquisitos:","2","1"
"1790136149-6","https://www.tec.ac.cr/licenciatura-ingenieria-agricola","","MA0101 - matemática general","MA0101","matemática general","No hay","No hay","Créditos","Horas","Requisitos:","Correquisitos:","5","2"
"1790136149-7","https://www.tec.ac.cr/licenciatura-ingenieria-agricola","","QU1102 - laboratorio de química básica i","QU1102","laboratorio de química básica i","QU1106","No hay","Créditos","Horas","Requisitos:","Correquisitos:","2","1"
"1790136149-8","https://www.tec.ac.cr/licenciatura-ingenieria-agricola","","QU1106 - química básica i","QU1106","química básica i","QU1102","No hay","Créditos","Horas","Requisitos:","Correquisitos:","4","3"
